DOI;Abstract
10.1016/j.cities.2025.105739;Urban green spaces are increasingly seen through the lens of their contributions to economic growth, neglecting the broader aspects of common goods and social-ecological priorities. Following a ‘green economy’ agenda, the interests of green spaces are acknowledged when they can be coupled with economic interests. Multiple ideas have challenged this neoliberal economic perception of environment–society–economy interactions, focusing on social and environmental justice and multiple values of nature. This paper features degrowth as one such alternative. It proposes a degrowth agenda on urban green spaces, drawing on various ideas that oppose neoliberal governance. It calls for the repoliticisation and decolonisation of green spaces and a broader political commitment to creating a good place for all. This agenda revolves around three aspects and suggests ensuring equitable opportunities to benefit from green spaces for all urban inhabitants. (1) Co-production rather than production: conviviality, care, and commons promote egalitarian opportunities to join greening efforts. (2) Instead of seeing urban green spaces as commodified arenas of consumption, focus on their potential to curb economic throughput. (3) Decentring the human: enhancing multispecies entanglements in urban green spaces to fundamentally alter how people connect to nature. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.landurbplan.2024.105282;There has been a surge of academic studies on nature-based solutions in the last decades, reflecting the growing view that nature can help us address the climate and the ecological crises. While definitions of nature-based solutions are commonly referenced in the literature, “nature” itself is rarely defined. This article investigates the ideas of nature in nature-based solutions discourses in urban planning and argues that unpacking their connotations is crucial for a more precise and locally sensitive development of planning for humans and more-than-humans. The findings reveal that “nature” is often used abstractly or through proxies such as ecosystem services or biodiversity. Although the place-specificity of NBS is recognized in the literature, local definitions and values of nature are not sufficiently included, which can compromise the long-term uptake of NBS. The study further highlights the growing recognition of the plural values of nature and the potential for ecocentric approaches to challenge the anthropocentric underpinnings of NBS. The article concludes that unpacking the often-diverging meanings of nature is paramount for a more conscious development of NBS research in planning theory and practice, enhancing the effectiveness, inclusivity, and environmental justice of NBS initiatives and their effective mainstreaming. By embracing plural definitions of nature and fostering a deeper understanding of human-nature relationships, NBS research can support more sustainable, resilient, and equitable urban futures. © 2024 Elsevier B.V., All rights reserved.
10.25105/urbanenvirotech.v8i1.21415;Law No. 17/2019 declared that the main objective of Indonesia’s national water resources management is one that is managed in a comprehensive, integrated, and environmentally conscious manner, with the purpose of establishing justice and the welfare for the people. Not only stating if the national water resources management must be environmentally conscious, but the law also defines conservation as one of the efforts required for water resources management. Thereby, in the interest of carrying out the formulation and implementation process of water resources management as defined by the law, currently the Directorate General of Water Resources has included water resources conservation as one of its thirteen general policies. Even so, these conservation and environmentally conscious efforts can be found in the operational strategies, goals and performance indicators. Aims: This study was aimed to obtain additional insights can be benefited for the formulation and implementation process in Indonesia. Methodology and results: Corresponding to the recent development in water resources management strategies which have begun to lead into the direction of nature-based solutions, or popularly also known as green infrastructure, this study conducts a literature review on the utilization of green infrastructure as water resources management strategies in several other countries. Conclusion, significance and impact study: Directorate General of Water Resources’ strategic planning document for the year 2020-2024 also indicates if the objective of Indonesia’s national water resources management is still focusing on grey infrastructure, particularly the construction of multipurpose dams. © 2025 Elsevier B.V., All rights reserved.
10.3390/land14040818;Nature-Based Solutions (NBSs) have gained prominence in urban planning as integrative strategies that utilize natural processes to address complex environmental and societal challenges while advancing green infrastructure development. Despite growing academic interest, the practical integration of NBSs into urban green infrastructure remains hindered by fragmented methodologies and limited understanding of context-specific implementation dynamics. This study contributes to addressing these gaps through a systematic review and bibliometric analysis of 90 peer-reviewed articles published between 2014 and 2024. It examines the range of NBSs employed in urban green infrastructure, the factors shaping their successful implementation, and the barriers, financial, technical, social, and political, that constrain their adoption. The analysis also explores the roles of key stakeholders, including local governments, private actors, and communities, in the planning, execution, and maintenance of NBS projects. The findings reveal both conceptual convergence and contextual variation in how NBSs are deployed and evaluated, highlighting critical enablers, such as spatial justice, governance integration, financial viability, and technical capacity. By clarifying the conditions under which NBSs function effectively, this review offers insights for researchers and policymakers seeking to embed these approaches within sustainable urban development frameworks. © 2025 Elsevier B.V., All rights reserved.
10.3390/f16040561;"Intensive anthropogenic disturbances have driven significant spatial disparities and progressive fragmentation of forest-based green infrastructure (GI) that delivers vital ecosystem services across river basins. To address these challenges, delineating ecological management zones and developing spatially targeted GI optimization measures are imperative for safeguarding regional ecological security and advancing nature-based solutions in coupled human–water–forest systems. Focused on the mainstream area of the Jialing River Basin, we establish an ecological optimization zoning system that reconciles forest ecosystem resilience with regional development equity. By using morphological spatial pattern analysis, landscape pattern analysis and the In-VEST model, the GI supply capacity was assessed from three dimensions: element composition, structural configuration, and ecosystem services. The demand intensity was evaluated based on environmental governance pressure, urban expansion demand and social development needs across counties. Supply–demand matching was analyzed using quadrant-based mismatch typology and coupling coordination degree model. The results reveal that the following: (1) supply-deficit counties are predominantly located in the middle and lower reaches of the basin, characterized by high urbanization and economic development; (2) supply-surplus and high-level balanced counties cluster in the ecologically conserved upper reaches; (3) low-level balanced counties are concentrated in agricultural zones; (4) the overall coordination degree of supply and demand show a preliminary state of coordination. Based on these findings, the basin was classified into five zones at the county level: GI restoration, management, rehabilitation, enhancement, and conservation. Tailored ecological management measures and policies were formulated for each zone to advance sustainable basin development. © 2025 Elsevier B.V., All rights reserved."
10.1007/s10584-025-03899-3;“Nature” is a broad term with neither a standard definition nor consistent use, even across federal reports like the National Climate Assessment (NCA). The process of defining complex topics like “nature” is difficult given the broad range in people’s understandings of and relationships with the natural world. To support the development of future nature assessments and NCAs, we analyzed use of nature-related words and themes over time in all five published NCAs and one preliminary draft of NCA5. Overall, despite the prevalence of nature-related topics, we found the term “nature” was not used as much as others like “ecosystems,” though “nature-based solutions” appeared more in the latest NCA (NCA5) compared to earlier NCAs. Additionally, the scope of nature-related chapters in NCAs has evolved from initially focusing on impacts of climate change on ecosystems and ecosystem services towards highlighting solutions that nature can provide and implications for human well-being and environmental justice. We suggest improving the consistency of nature-related terms and topics within future climate and nature assessments to help promote dialogues across disciplines, reports, and assessment chapters, allowing researchers to better tackle multifaceted issues of global change. However, broad standardization of nature-related language may unnecessarily constrict the diverse understandings of nature. Definitions of nature-related terms should be revisited and adapted based on changing views and realities as global changes evolve. © 2025 Elsevier B.V., All rights reserved.
10.3390/su17073043;People-environment interactions within nature-based solutions (NBS) are not always understood. This has implications for communicating the benefits of NBS and for how we plan cities. We present a framework that highlights a duality in NBS. The NBS as an asset includes both natural capital and human-centred capital, including organisational structures. NBS also exist as a system within which people are able to interact. Temporal and spatial scales moderate the benefits that NBS provide, which in turn are dependent on the scale at which social processes operate. Co-production and equity are central to the interactions among people and institutions in the design, use and management of NBS, and this requires clear communication. Drawing on ideas from culture-based development (CBD), we suggest an approach to communicate the benefits of NBS in a neutral but effective way. We propose guidelines for planning NBS that allow the optimisation of NBS locations and designs for particular outcomes. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.rineng.2025.104266;Neighborhoods encounter various challenges that span environmental, social, and economic dimensions, which threaten both the sustainability of these cities and the well-being of their residents. Presently, urban systems function within a linear and inefficient framework, particularly noticeable in critical sectors such as food, energy, and water. This highlights the critical need to shift towards incorporating Nature-Based Solutions (NBS) within urban neighborhoods. Implementing NBS faces challenges such as financial constraints, land scarcity, lack of technical expertise, limited community buy-in, and maintenance issues. The integration of NBS can enhance the socio-economic resilience of the city on three scales: building, street, and neighborhood. By focusing on multi-functionality, these solutions address multiple issues simultaneously, such as improving insulation, enhancing urban biodiversity, managing stormwater, and reducing the urban heat island effect. The research investigates the potential of NBS to facilitate sustainable neighborhood development, emphasizing economic strategies through closed-loop systems to rehabilitate damaged ecosystems, enhance biodiversity, and revitalize neglected and underutilized spaces that detract from a city's overall quality of life. A comprehensive review of existing literature has been undertaken to clarify the scalability potential of NBS within the housing sector, leading to more resilient, equitable, and livable urban environments. This research emphasizes innovative maintenance strategies to ensure the sustainability of NBS across various urban and socio-economic contexts. The review compiles recommendations for conceptualizing NBS for resilient neighborhoods while identifying an execution framework for NBS implementation in neighborhoods particularly those with low-income housing, by engaging communities to promote a sense of belonging and socio-economic resilience. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.jenvman.2025.124717;Land use management stands at the forefront of addressing the intricate challenges posed by climate change while balancing societal needs and environmental sustainability. In the face of climate disasters, such as flooding, the urgency to reevaluate land management practices becomes paramount. Nature-Based Solutions (NbS) have emerged as a promising approach, leveraging natural resilience to mitigate climate change impacts, and offering additional benefits like biodiversity conservation and community well-being. However, the integration of NbS into urban planning raises critical considerations regarding climate justice. Concerns revolve around the equitable distribution of benefits and burdens, with the risk of NbS disproportionately benefiting affluent communities. Moreover, the framing of NbS as alternatives or complements to technological solutions raises questions about perpetuating environmental injustices and exacerbating social inequalities. Long-term sustainability and management of NbS, coupled with the need for community engagement and participatory decision-making, further complicate the integration process. The Nigerian context exemplifies these challenges, with existing land use policies struggling to accommodate NbS principles amidst fragmentation and ambiguity. The Land Use Act of 1978 falls short in addressing the needs of stakeholders in informal settlements, perpetuating marginalization, and hindering effective climate adaptation efforts. Against this backdrop, this study aims to unravel specific barriers within Nigerian land use policies impeding NbS integration and climate adaptation. Through insights from policymakers, planners, and stakeholders, this research seeks to illuminate pathways for policy reforms fostering inclusive and effective climate adaptation strategies. Ultimately, the findings aspire to equip policymakers and planners with actionable insights to navigate Nigeria's complex climate adaptation landscape, promoting resilience and sustainability amid changing climatic conditions. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.landusepol.2024.107454;With increasing environmental and climate change threats to urban areas, Nature-based Solutions (NbS), including public greenery, are becoming integral components of green infrastructure (GI) networks. These solutions provide multiple benefits in different aspects, including stormwater management, enhanced air quality and improved societal well-being, offering cost-effective and adaptable alternatives to resource-intensive and environmentally harmful grey infrastructure. However, their benefits are often unevenly distributed, resulting in patterns of environmental injustice. This article presents a GIS-based study of the spatial allocation of publicly accessible NbS (PNbS), in Gdansk, Poland, and Rome, Italy. It aims at assessing possible correlations between the socio-economic attributes of the urban districts of the two cities and the density of available PNbS in each district. Results indicate disparities in density of PNbS across different socio-economic layers, more relevant in Rome than in Gdansk, and highlight the importance of informed urban planning. The study supports concerns for fair NbS distribution, pointing to the potential exacerbation of social and economic inequalities, which puts socially vulnerable communities at higher risk of being affected by climate hazards. The results provide insights for policymakers, urging a prioritized focus on districts with crucial PNbS needs. Strategies should consider socio-economic factors to address distributive and environmental justice concerns. Overall, the study offers insights to guide urban planning toward climate-resilient and inclusive cities. © 2024 Elsevier B.V., All rights reserved.
10.1111/jfr3.13042;"Urban flood risk governance (FRG) approaches increasingly seek to engage local communities—and their surrounding ecosystem in natural flood management (NFM) approaches—to co-produce socio-ecological resilience. This systematic review investigates current approaches, barriers, and enablers of community engagement in urban FRG through a flood risk justice lens. Employing a systematic search and an adapted ‘best fit’ framework synthesis methodology, and reporting results according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses transparent reporting system. The central theme of inclusivity emerged from the synthesis, which integrated sub-themes of relationality, non-universalism, power structures, and personal paradigms in a conceptual model. Results invite FRG practitioners to reframe community engagement as community inclusion in order to respond to the procedural, social, and environmental justice concerns of urban ‘flood disadvantage’ which may be reinforced by current engagement approaches. Critical discussion of evidence—informed by the conceptual model—recognised five principles for realising procedurally just community inclusion; promoting the co-production of integrated community inclusion strategies alongside the communities themselves. The study identified a gap in the literature concerning community involvement in NFM; highlighting a priority for future research with a view to realise more inclusive FRG. © 2024 Elsevier B.V., All rights reserved."
10.3390/atmos16030258;Intensifying heat from warming climates regularly concentrates in urban areas lacking green infrastructure in the form of green space, vegetation, and ample tree canopy cover. Nature-based interventions in older U.S. city cores can help minimize the urban heat island effect, yet neighborhoods targeted for cooling interventions may remain outside the decisional processes through which change affects their communities. This translational research seeks to address health disparities originating from the absence of neighborhood-level vegetation in core urban areas, with a focus on tree canopy cover to mitigate human susceptibility to extreme heat exposure. The development of LiDAR-based imagery enables communities to visualize the proposed greening over time and across seasons of actual neighborhood streets, thus becoming an effective communications tool in community-engaged research. These tools serve as an example of how visualization strategies can initiate unbiased discussion of proposed interventions, serve as an educational vehicle around the health impacts of climate change, and invite distributional and participatory equity for residents of low-income, nature-poor neighborhoods. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.ufug.2024.128626;"Areas of high tree canopy cover, especially connected tree canopy cover, provide habitat to support biodiversity and cooling to ameliorate the urban heat island effect. However, the nature-based solutions provided by trees are not distributed equally; land use contributes to this systematic inequality because the places where it is easiest to plant trees are often not where trees are needed most. To better understand the gaps and opportunities for tree planting across the urban landscape, we examine the distribution of tree canopy cover and connectivity by land use in 10 U.S. cities. We find that parks have the greatest tree canopy coverage followed by single-family residential areas, multi-family residential areas, and industrial land uses. On average, single-family neighborhoods had 8.5 % points more tree canopy coverage than multi-family neighborhoods, with gaps as high as 18.6 % points. Looking at the size of connected tree canopy, we find that residential land uses are home to more small contiguous tree canopy patches (>1 ha in area), while parks have more large contiguous tree canopy (>12 ha in area). We compare the contiguous tree canopy findings to tree planting policy in each city to examine the influence of intentional planning for tree connectivity, and close with policy-oriented implications of our results. Namely, we suggest: 1) closing the gap between single-family and multi-family tree canopy cover, 2) factoring connectivity into tree planting and preservation, and 3) taking a context-specific approach to increase tree cover in industrial areas in order to more equitably distribute the climate, ecological, and health benefits of trees. © 2024 Elsevier B.V., All rights reserved."
10.1088/1755-1315/1447/1/012019;The concept of nature-based solutions (NBS) emerges as a multidimensional approach to achieve sustainable development while enhancing resilience to environmental hazards, in solving the challenges posed by climate change and rapid urbanization. This article examines the integration of NBS in the development of the new capital city of Indonesia, located in Nusantara, East Kalimantan, focusing on its role in climate resilience and low carbon development. Methodologically, the study explores how NBS can effectively conserve green and blue carbon through a synthesis of literature, case studies, and policy analyses, thereby contributing to carbon sequestration and climate change mitigation efforts. Additionally, the paper examines the potential of NBS in reducing the impacts of hydrometeorological disasters, such as floods and forest fires, which pose significant threats to the region's ecological integrity and human well-being. By leveraging the natural landscape and ecosystem services, NBS can mitigate urban heat island effects, improve air and water quality, enhance biodiversity, and reduce vulnerability to extreme weather events. Furthermore, the paper emphasizes the importance of stakeholder engagement, including the participation of Masyarakat adat (indigenous communities), in the co-design and implementation of NBS initiatives. Through inclusive governance structures and participatory planning processes, the new capital city can foster social cohesion, equity, and cultural resilience while advancing sustainable urban development goals. Overall, the integration of NBS represents a transformative pathway towards building climate-resilient and livable urban landscapes that serve as models of sustainability for Indonesia and beyond. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.jclepro.2024.144566;"Nature-based Solutions (NbS) are recognized as important strategies to adapt and mitigate the effects of climate change. To better account for NbS justice implications, theory and practice have embraced Inclusive Climate Actions (ICAs) that simultaneously tackle climate change and urban inequalities. While the (in)justice repercussions of climate actions have extensively been discussed theoretically and empirically, an in-depth assessment of the environmental, economic, and social implications of ICAs is lacking. This research develops a novel framework for evaluating and monitoring the effectiveness of ICAs for NbS. The relevance of the framework lies in its double applicability: the framework has a generic core of 13 KPIs that can be applied for assessment in all European cities, while it can also be integrated by supporting place-based indicators that are specific to each city and NbS project. Prisma methodology, Pareto analysis, qualitative compatibility check, and Fuzzy Delphi methodology are the methodologies used for the selection of the core KPIs. Supporting place-based indicators can be selected though workshops involving local stakeholders. The framework helps cities to implement ICAs that result in more than just delivery of NbS by distributing NbS impacts as equitably as possible. The relevance of the proposed framework lies in several aspects: firstly, its emphasis on ICAs for NbS, offering a thorough and systematic insight into the environmental, social, and economic trade-offs and synergies associated with NbS; secondly, the pioneering methodological approach that merges cutting-edge methodologies with the consideration of stakeholders' perspectives, and thirdly, its ability to integrate context-specific analyses and its applicability in both the planning and monitoring phases of ICAs. This study is conducted under the auspices of the DUT European project GREEN-INC: Growing effective and equitable Nature-based Solutions through Inclusive Climate Actions. © 2025 Elsevier B.V., All rights reserved."
10.1016/j.envsci.2024.103979;Nature-based Solutions (NbS) have gained global attention for their transformative potential to simultaneously address biodiversity loss, climate change, and human well-being. However, there are concerns that dominant framings reinforce vested interests, marginalise alternative perspectives, and lead to persistent patterns of inequality and injustice. While participatory governance of NbS is widely acclaimed to support more equitable and ‘just’ outcomes, it is unclear to what extent the necessary changes can occur within dominant framings and approaches. To address this gap, this paper foregrounds the messy, contested, and discontinuous politics of sustainability transformations to explore how different framings influence the transformative potential of NbS. Drawing from interviews and a survey with NbS practitioners and policy makers in the UK, we critically unpack the interplay between techno-scientific and market-oriented approaches, risk and uncertainty, and participatory governance processes in shaping transformative NbS. Our findings demonstrate that, despite numerous efforts to rethink and reframe NbS, there remains a need to make space for different conceptualisations, practices, and alternative approaches to transformation. We suggest that this requires transcending dominant techno-market framings that demand certainty and control over sustainability outcomes, and caution against “democracy washing” through NbS that perpetuates superficial participation and unequal power relations. These debates indicate that transformational NbS will require an explicit recognition of these power inequalities and a commitment to cultivate and open up - rather than control and close down - alternative perspectives, pathways, and possibilities that foster justice and well-being for both humans and nature. © 2024 Elsevier B.V., All rights reserved.
10.1016/j.envsci.2024.103971;Working with people is inherent to Nature-Based Solutions (NbS). The International Union for Conservation of Nature (IUCN) Global Standard for Nature-based Solutions (NbS) requires interventions to work with and for society, acknowledging and integrating stakeholder views in all aspects of NbS in landscapes. However, existing guidance on NbS does not fully reflect all the insights and guidance available from an extensive literature on stakeholder engagement, empowerment, participation and related concepts. This paper provides guidance on achieving stakeholder engagement in NbS, by using the literature to analyse the role of stakeholder engagement in eight NbS criteria of the IUCN Global Standard. Each criterion represents themes orienting engagement, briefly: (1) societal challenges, (2) design at scale, (3) biodiversity net-gain, (4) economic feasibility, (5) inclusive governance, (6) balancing trade-off (7) adaptive management and (8) sustainability and mainstreaming. We show it is imperative to clearly differentiate stakeholders and their differing roles in different aspects of NbS. Hence, for each criterion there should be: a clearly defined rationale (why), the different stakeholder groups (who), the stage of the project (when) and the appropriate pathways (how) by which stakeholders will be engaged. We conclude with a discussion on the implications of the framework for those planning, resourcing and enabling nature-based solutions. We emphasise stakeholder engagement as multidimensional, requiring reflexibility and attention to inclusivity, equity and transparency. We also highlight the wicked problems of stakeholder engagement, in terms of the need for political support, resource commitment and competence to make engagement in NbS fit-for-purpose. © 2024 Elsevier B.V., All rights reserved.
10.1016/j.scs.2024.106037;Integration of Nature-based solution (NBS) as adaptation in planning and policy remains a challenge due to lack of adequate information on economic feasibility. This is mainly due to non-availability of economic evaluation framework for informed decision. Present study tries to address this by examining the status of evaluation frameworks through a systematic review of peer-reviewed articles published between 2015 and 2023. Based on the synthesis of the evidence a five-step framework, exclusively for economic evaluation of NBS as urban adaptation has been developed. Using this a novel, holistic, just, equitable and inclusive cyclical decision tool has been proposed. The review confirmed the lack of economic assessment and a holistic evaluation framework. The evaluation framework has been backed by operational guidance by providing comprehensive recommendations on the methodologies, tools and techniques and indicators and metrics that can be used for execution of each step. The proposed cyclical decision tool facilitates equity and justice by having provisions for ensuring equal participation of each stakeholder in decision making. It specifically ensures incorporation of plurality of knowledge and in particular value of the ecosystem services (ESs) from NBS. The tool has applicability across the urban spatial scale in cities of developed and developing economies. © 2024 Elsevier B.V., All rights reserved.
10.1016/j.cities.2024.105561;"Preliminary evidence suggests that socioeconomically disadvantaged groups may derive greater health benefits from residential green space (RGS); however, the heterogeneity of the mechanisms underlying the health effects of RGS across socioeconomic status strata remains unclear. This study aimed to examine the association between RGS quantity and quality and subjective well-being (SWB) in older adults, and to unravel the variation in this association and its mechanisms based on housing price levels (as an SES proxy), using a sample of 439 older adults in Nanjing, China. Multivariate linear models and structural equation modeling (SEM) were used to evaluate the association between RGS and SWB and to examine their underlying pathways. Multi-group SEM analysis was employed to investigate the effect modification of SES on these pathways. We found that RGS was positively associated with SWB by promoting physical activity and social cohesion, and by reducing perceived air pollution and noise. Older adults in low-SES communities were more likely to benefit from RGS exposure. These variations could be partially explained by differences in physical activity and social cohesion, which were more pertinent for older adults in low-SES communities. Our findings have implications for green interventions aimed at achieving health equity in underdeveloped urban environments. © 2024 Elsevier B.V., All rights reserved."
10.1111/btp.13369;Urban ecology and tropical biology have both developed rapidly in recent decades and matured into important interdisciplinary fields, with significant implications for biodiversity and human communities globally. However, urban ecosystems within the tropics remain understudied and poorly characterized despite these systems representing major hotspots for both biodiversity and human population growth. Here we review the state of the field of “tropical urban ecology.” We first evaluated and propose ecological hypotheses about how tropical versus extratropical species and ecosystems might differ from one another in how they respond to urbanization pressures. While data remain limited, we expect that tropical biodiversity should be at least as vulnerable to urbanization (and potentially more vulnerable) than extratropical biodiversity. We also examined the importance of ecosystem services in tropical cities and demonstrate the challenges in quantifying, managing, and sustaining these across diverse socioeconomic and environmental contexts. Finally, we propose an agenda for moving the field of tropical urban ecology forward through an interdisciplinary lens that synthesizes recent advances in both urban ecology and tropical biology. Specifically, advances and development in community science, Earth observation, environmental justice, One Health, and land sparing/sharing strategies could lead to major steps forward in the conservation of biodiversity in tropical cities. As the world urbanizes increasingly in biodiverse-rich tropical ecosystems, we must have strong conceptual frameworks and increased data/attention on both the ecological and human communities most impacted by these significant global changes. © 2024 Elsevier B.V., All rights reserved.
10.1016/j.pecon.2025.09.002;Nature-based Solutions (NbS) are increasingly recognized as key strategies for urban climate adaptation. To ensure effectiveness and avoid conceptual dilution, the International Union for Conservation of Nature (IUCN) established a Global Standard comprising eight guiding criteria. However, the extent to which these criteria are incorporated into scientific research remains unclear. Here, we conduct a meta-analysis of 79 peer-reviewed studies to evaluate how the IUCN criteria are applied in NbS literature focused on cities, and whether their inclusion relates to reported adaptation outcomes. Our results show that most studies emphasize biophysical aspects, such as temperature or runoff reduction, while largely overlooking social, institutional, and temporal dimensions. Criteria such as Governance, Trade-offs, and Adaptive management appear in less than 10% of the studies. We also find a negative association between the number of criteria considered and the mean effect size, with greater variability in outcomes as complexity increases. These findings suggest that while multidimensional integration is essential, it also poses implementation challenges. Bridging these gaps will require adaptive approaches that align ecological performance with governance, long-term monitoring, and social needs. Advancing NbS research through more comprehensive and standardized assessments is critical to ensure their credibility, equity, and long-term relevance in urban climate adaptation. © 2025 Elsevier B.V., All rights reserved.
10.1080/09654313.2025.2546938;Children and youth are increasingly recognized as a stakeholder group that needs to be involved in all planning processes affecting their living environments, such as urban playgrounds. Schoolyards and public playgrounds, as key spaces embedded in the everyday geographies of children, offer a promising site for child-friendly nature-based solutions to counter social and environmental challenges, including health challenges, urban heat stress, and lack of safety for outdoor play. However, greening a city inclusively with children is challenging, and only recently have most European cities begun to explore this. Here, we analyze planning processes for inclusive greening of urban playgrounds and schoolyards in two European cities, Barcelona (Spain) and Utrecht (the Netherlands). Results show inclusive planning with children is challenging due to planning traditions constraining participation, narrow views of non-experts on children’s contributions, and a limited understanding of children’s agency. In addition, we show that the type of planning affects inclusivity, flexibility, and distributive justice of these playgrounds. Exploring inclusive planning of playgrounds directs our attention to child-friendly urban planning, which goes beyond simply providing playgrounds. It is also about making schools and playgrounds part of the environmental and social transformation of cities and making children part of their planning. © 2025 Elsevier B.V., All rights reserved.
10.1177/09562478251364221;Socio-technical assistance projects advancing the use of urban nature-based solutions (NbS) are gaining currency in the global South, but many gaps exist in our understanding of how they can lead to more just outcomes. We examine the literature of informal settlement upgrading and climate adaptation in the global South to conceptualize contemporary socio-technical assistance projects using NbS. Building upon selected case studies in small island developing states (SIDS) in the Asia Pacific region, we draw lessons on how initiatives can address challenges such as power dynamics, limited funding and competing priorities. We examine these projects using justice as a lens that accounts for procedural, recognition and distributional dimensions. The findings reveal that, despite persistent barriers, there are mechanisms through which socio-technical assistance can contribute to justice in the implementation of NbS by creating new platforms for decision-making processes and relationships between residents, funders, local governments and academia. © 2025 Elsevier B.V., All rights reserved.
10.1007/978-3-031-99132-5_14;Urban areas are increasingly exposed to the impacts of climate change, including extreme heat, flooding, and deteriorating air quality, all of which pose significant threats to public health and urban sustainability. Traditional infrastructure systems, often rigid and outdated, are ill-equipped to respond to these dynamic challenges. This chapter explores climate-resilient infrastructure strategies that enhance urban sustainability by integrating green infrastructure, adaptive urban planning, and public health considerations. Using a qualitative research approach, the study synthesis data from peer-reviewed literature, global policy frameworks, and comparative case studies of cities including Ahmedabad, Chennai, Rotterdam, New York, Singapore, and Copenhagen. The four core dimensions were identified: technological innovation, governance structures, health outcomes, and community participation. The results highlight that cities integrating nature-based solutions, such as permeable surfaces, green roofs, and urban forests, alongside early warning systems and adaptive water infrastructure, have significantly reduced health risks and improved resilience to climate-related stresses. However, challenges remain, especially in low- and middle-income cities, where financial, institutional, and policy constraints hinder large-scale implementation. The chapter argues that climate-resilient urban infrastructure must be inclusive, health-centred, and adaptable to varying urban contexts. It concludes by recommending mandatory health impact assessments, stronger policy integration, and community co-production in resilience planning. These strategies, if systematically adopted, can help urban areas not only withstand climate-related shocks but also enhance long-term well-being, equity, and sustainability for all residents. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.crm.2025.100740;Environmental relocation presents a form of risk management that requires organized movement of communities but are complex to carry out and can have inequitable results. A careful examination of the ethical dimensions of relocation from planning to implementation to outcomes offers an avenue for understanding and addressing potential injustices. Using a deductive environmental justice framework, we analyzed two compensation-based relocations, also understood as buyouts: the 2013 Danube flood relocation in Austria's Eferding Basin and the Noordwaard de-poldering in the Netherlands’ Room for the River program. We combined document analysis (n = 62) and semi-structured interviews (n = 20) to assess justice concerns, focusing on distributive, procedural, and ecological dimensions. Distributive justice was primarily addressed through financial compensation, offering 100 % market value in the Noordwaard and 80 % in the Eferding Basin, but non-monetary considerations were relatively neglected. Procedural justice, particularly transparency and citizen participation, were insufficient. Considerations of ecological justice were absent in the Eferding Basin but the Noordwaard's use of nature-based solutions and prioritization of spatial quality led to multiple environmental benefits. Overall, this paper argues that justice should not be viewed simply as a criterion to be fulfilled, but rather as a guiding principle for addressing the broader, short and long-term impacts, and well-being related to relocation. By adopting this perspective, justice can be understood as an opportunity for positive transformation, allowing environmental relocation to be framed as a process with the potential for meaningful, beneficial change rather than solely a response to current or future flood risk. © 2025 Elsevier B.V., All rights reserved.
10.5130/ccs.v17.i2.9911;"Indigenous peoples have acted across a wide range of fields to address climate change. In all contexts they encounter the barriers of established colonial relations of land and state sovereignty. Indigenous-centred agendas are defined in articulation, with and against these dominant regimes. In this respect they are ‘immanent’, locked into in dialectical struggles for sovereignty. Such contestations are inherently generative: they force new issues onto the agenda, enabling transformation. In this special issue, transformative possibilities are discussed across the carbon cycle: at the point of extraction and emission; the application of mitigation and renewables; carbon sinks and ‘nature-based’ solutions; adaptation and conservation; and issues of governance and influence. © 2025 Elsevier B.V., All rights reserved."
10.1007/s11355-025-00677-2;As we enter an era of climate crisis response, ecosystems and human lifestyles are changing, creating a growing demand for solutions that balance ecological and social needs with budget constraints and land-use changes. Climate change impacts both ecosystems and human well-being, making the interaction between humans and ecosystems complex and unpredictable. This study analyzed the relationship between land use and land-cover connectivity and satisfaction/dissatisfaction with ecosystem services (ES) to understand the dynamics of these interactions. We introduced the concept of perceived landscape connectivity (PLC), which assesses landscape continuity, physical connectivity, and accessibility from a human perspective. Using the R package “landscapemetrics,” we analyzed PLC in 18 legal neighborhoods (Dong) in Seoul and examined its correlation with satisfaction/dissatisfaction regarding the socio-cultural value of ES. The results revealed that factors influencing satisfaction and dissatisfaction with ES are distinct rather than opposing. Specifically, decreased aggregation of impermeable surfaces and increased access to water and green spaces boosted satisfaction with urban parks and health-related ES. Conversely, increased aggregation of impermeable surfaces and reduced boundary areas heightened dissatisfaction with biodiversity-based ES. In addition, reduced water-surface aggregation increased dissatisfaction with resilience-based ES, such as natural disaster prevention and heat control. This study highlights the significance of PLC in supporting decision-making processes that enhance ES satisfaction and reduce dissatisfaction, particularly through nature-based solutions (NBS) in urban environments. © 2025 Elsevier B.V., All rights reserved.
